Year,Industry_Section,Industry,Accident_Kind,Total_NonFatal,Specified_Injuries,Over7Day_Injuries,Pct_Total,Pct_Specified,Pct_Over7Day,Severity,Year_Clean,Industry_Short
2016/17,B,Mining and quarrying [Note 3],"Slips, trips or falls on same level",46,18,28,0.29,0.35,0.26,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Falls from a height,20,10,10,0.13,0.2,0.09,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Trapped by something collapsing/overturning,0,0,0,0,0,0,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],"Exposure to, or contact with, a harmful substance",0,0,0,0,0,0,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Exposure to fire,9,0,9,0.06,0,0.08,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Exposure to an explosion,0,0,0,0,0,0,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Contact with electricity or electrical discharge,1,0,1,[k],0,[k],Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Injured by an animal,0,0,0,0,0,0,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Acts of violence,1,1,0,[k],0.02,0,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,B,Mining and quarrying [Note 3],Other kind of accident,13,2,11,0.08,0.04,0.1,Non-Fatal,2016/17,Mining and quarrying [Note 3]
2016/17,C,Manufacturing,Contact with moving machinery,1562,358,1204,0.12,0.13,0.12,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,"Struck by moving, including flying/falling, object",1588,383,1205,0.13,0.14,0.12,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Struck by moving vehicle,298,104,194,0.02,0.04,0.02,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Strike against something fixed or stationary,548,118,430,0.04,0.04,0.04,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,"Injured while handling, lifting or carrying",3038,241,2797,0.24,0.09,0.29,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,"Slips, trips or falls on same level",2778,986,1792,0.22,0.35,0.18,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Falls from a height,784,392,392,0.06,0.14,0.04,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Trapped by something collapsing/overturning,58,25,33,[k],[k],[k],Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,"Exposure to, or contact with, a harmful substance",211,11,200,0.02,[k],0.02,Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Exposure to fire,37,7,30,[k],[k],[k],Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Exposure to an explosion,13,5,8,[k],[k],[k],Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Contact with electricity or electrical discharge,37,4,33,[k],[k],[k],Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Injured by an animal,12,4,8,[k],[k],[k],Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Acts of violence,19,4,15,[k],[k],[k],Non-Fatal,2016/17,Manufacturing
2016/17,C,Manufacturing,Other kind of accident,1627,187,1440,0.13,0.07,0.15,Non-Fatal,2016/17,Manufacturing
2016/17,D,"Electricity, gas, steam and air conditioning supply",Contact with moving machinery,7,3,4,0.02,0.03,0.02,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply","Struck by moving, including flying/falling, object",47,18,29,0.16,0.18,0.15,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Struck by moving vehicle,5,4,1,0.02,0.04,[k],Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Strike against something fixed or stationary,11,4,7,0.04,0.04,0.04,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply","Injured while handling, lifting or carrying",63,6,57,0.21,0.06,0.29,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply","Slips, trips or falls on same level",84,39,45,0.28,0.39,0.23,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Falls from a height,35,19,16,0.12,0.19,0.08,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Trapped by something collapsing/overturning,0,0,0,0,0,0,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply","Exposure to, or contact with, a harmful substance",4,1,3,0.01,[k],0.02,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Exposure to fire,3,1,2,0.01,[k],0.01,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Exposure to an explosion,3,1,2,0.01,[k],0.01,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Contact with electricity or electrical discharge,5,2,3,0.02,0.02,0.02,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Injured by an animal,2,0,2,[k],0,0.01,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Acts of violence,3,0,3,0.01,0,0.02,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,D,"Electricity, gas, steam and air conditioning supply",Other kind of accident,28,3,25,0.09,0.03,0.13,Non-Fatal,2016/17,"Electricity, gas, steam and air conditioning suppl"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Contact with moving machinery,72,22,50,0.03,0.04,0.03,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities","Struck by moving, including flying/falling, object",253,64,189,0.12,0.13,0.12,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Struck by moving vehicle,104,43,61,0.05,0.09,0.04,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Strike against something fixed or stationary,68,14,54,0.03,0.03,0.03,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities","Injured while handling, lifting or carrying",616,38,578,0.29,0.08,0.35,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities","Slips, trips or falls on same level",631,199,432,0.3,0.4,0.26,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Falls from a height,160,78,82,0.07,0.16,0.05,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Trapped by something collapsing/overturning,11,6,5,[k],0.01,[k],Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Drowning or asphyxiation,1,1,0,[k],[k],0,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities","Exposure to, or contact with, a harmful substance",26,4,22,0.01,[k],0.01,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Exposure to fire,7,2,5,[k],[k],[k],Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Exposure to an explosion,2,0,2,[k],0,[k],Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Contact with electricity or electrical discharge,8,0,8,[k],0,[k],Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Injured by an animal,6,0,6,[k],0,[k],Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Acts of violence,12,4,8,[k],[k],[k],Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,E,"Water supply; sewerage, waste management and remediation activities",Other kind of accident,157,19,138,0.07,0.04,0.08,Non-Fatal,2016/17,"Water supply; sewerage, waste management and remed"
2016/17,F,Construction,Contact with moving machinery,242,75,167,0.05,0.04,0.06,Non-Fatal,2016/17,Construction
2016/17,F,Construction,"Struck by moving, including flying/falling, object",621,265,356,0.13,0.15,0.12,Non-Fatal,2016/17,Construction
2016/17,F,Construction,Struck by moving vehicle,108,66,42,0.02,0.04,0.01,Non-Fatal,2016/17,Construction
2016/17,F,Construction,Strike against something fixed or stationary,126,45,81,0.03,0.02,0.03,Non-Fatal,2016/17,Construction
2016/17,F,Construction,"Injured while handling, lifting or carrying",969,134,835,0.2,0.07,0.28,Non-Fatal,2016/17,Construction
2016/17,F,Construction,"Slips, trips or falls on same level",1175,527,648,0.24,0.29,0.22,Non-Fatal,2016/17,Construction
2016/17,F,Construction,Falls from a height,860,552,308,0.18,0.31,0.1,Non-Fatal,2016/17,Construction
2016/17,F,Construction,Trapped by something collapsing/overturning,39,25,14,[k],0.01,[k],Non-Fatal,2016/17,Construction
2016/17,F,Construction,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Construction
2016/17,F,Construction,"Exposure to, or contact with, a harmful substance",49,2,47,0.01,[k],0.02,Non-Fatal,2016/17,Construction
2016/17,F,Construction,Exposure to fire,13,4,9,[k],[k],[k],Non-Fatal,2016/17,Construction
2016/17,F,Construction,Exposure to an explosion,4,2,2,[k],[k],[k],Non-Fatal,2016/17,Construction
2016/17,F,Construction,Contact with electricity or electrical discharge,43,8,35,[k],[k],0.01,Non-Fatal,2016/17,Construction
2016/17,F,Construction,Injured by an animal,9,2,7,[k],[k],[k],Non-Fatal,2016/17,Construction
2016/17,F,Construction,Acts of violence,8,5,3,[k],[k],[k],Non-Fatal,2016/17,Construction
2016/17,F,Construction,Other kind of accident,544,97,447,0.11,0.05,0.15,Non-Fatal,2016/17,Construction
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Contact with moving machinery,148,25,123,0.02,0.01,0.02,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Struck by moving, including flying/falling, object",1421,283,1138,0.16,0.14,0.17,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Struck by moving vehicle,279,67,212,0.03,0.03,0.03,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Strike against something fixed or stationary,306,77,229,0.04,0.04,0.03,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Injured while handling, lifting or carrying",2152,207,1945,0.25,0.1,0.29,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Slips, trips or falls on same level",2760,932,1828,0.32,0.46,0.27,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Falls from a height,633,276,357,0.07,0.14,0.05,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Trapped by something collapsing/overturning,29,13,16,[k],[k],[k],Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Exposure to, or contact with, a harmful substance",52,6,46,[k],[k],[k],Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exposure to fire,39,6,33,[k],[k],[k],Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Exposure to an explosion,3,1,2,[k],[k],[k],Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Contact with electricity or electrical discharge,15,0,15,[k],0,[k],Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Injured by an animal,24,2,22,[k],[k],[k],Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Acts of violence,205,44,161,0.02,0.02,0.02,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other kind of accident,637,77,560,0.07,0.04,0.08,Non-Fatal,2016/17,Wholesale and retail trade; repair of motor vehicl
2016/17,H,Transportation and storage [Note 2],Contact with moving machinery,154,30,124,0.02,0.02,0.02,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],"Struck by moving, including flying/falling, object",1060,204,856,0.12,0.11,0.12,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Struck by moving vehicle,418,113,305,0.05,0.06,0.04,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Strike against something fixed or stationary,441,109,332,0.05,0.06,0.05,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],"Injured while handling, lifting or carrying",2662,140,2522,0.29,0.07,0.35,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],"Slips, trips or falls on same level",2577,799,1778,0.28,0.43,0.25,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Falls from a height,820,391,429,0.09,0.21,0.06,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Trapped by something collapsing/overturning,33,11,22,[k],[k],[k],Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],"Exposure to, or contact with, a harmful substance",28,3,25,[k],[k],[k],Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Exposure to fire,3,0,3,[k],0,[k],Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Exposure to an explosion,7,1,6,[k],[k],[k],Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Contact with electricity or electrical discharge,7,1,6,[k],[k],[k],Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Injured by an animal,72,0,72,[k],0,0.01,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Acts of violence,82,6,76,[k],[k],0.01,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,H,Transportation and storage [Note 2],Other kind of accident,692,71,621,0.08,0.04,0.09,Non-Fatal,2016/17,Transportation and storage [Note 2]
2016/17,I,Accommodation and food service activities,Contact with moving machinery,70,9,61,0.01,[k],0.02,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,"Struck by moving, including flying/falling, object",386,72,314,0.08,0.07,0.08,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Struck by moving vehicle,25,13,12,[k],0.01,[k],Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Strike against something fixed or stationary,126,27,99,0.03,0.03,0.03,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,"Injured while handling, lifting or carrying",746,65,681,0.15,0.06,0.18,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,"Slips, trips or falls on same level",1543,587,956,0.32,0.55,0.25,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Falls from a height,307,131,176,0.06,0.12,0.05,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Trapped by something collapsing/overturning,11,4,7,[k],[k],[k],Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Drowning or asphyxiation,1,1,0,[k],[k],0,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,"Exposure to, or contact with, a harmful substance",178,5,173,0.04,[k],0.05,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Exposure to fire,29,8,21,[k],[k],[k],Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Exposure to an explosion,4,0,4,[k],0,[k],Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Contact with electricity or electrical discharge,42,1,41,[k],[k],0.01,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Injured by an animal,4,0,4,[k],0,[k],Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Acts of violence,116,35,81,0.02,0.03,0.02,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,I,Accommodation and food service activities,Other kind of accident,1246,103,1143,0.26,0.1,0.3,Non-Fatal,2016/17,Accommodation and food service activities
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Contact with moving machinery,90,17,73,0.03,0.02,0.04,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Struck by moving, including flying/falling, object",224,49,175,0.08,0.06,0.09,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Struck by moving vehicle,37,11,26,0.01,0.01,0.01,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Strike against something fixed or stationary,90,21,69,0.03,0.02,0.03,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Injured while handling, lifting or carrying",470,33,437,0.16,0.04,0.22,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Slips, trips or falls on same level",1118,511,607,0.39,0.58,0.3,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Falls from a height,322,163,159,0.11,0.18,0.08,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Trapped by something collapsing/overturning,5,1,4,[k],[k],[k],Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","Exposure to, or contact with, a harmful substance",23,1,22,[k],[k],0.01,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Exposure to fire,6,2,4,[k],[k],[k],Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Exposure to an explosion,1,0,1,[k],0,[k],Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Contact with electricity or electrical discharge,15,0,15,[k],0,[k],Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Injured by an animal,82,12,70,0.03,0.01,0.03,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Acts of violence,88,19,69,0.03,0.02,0.03,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,J-N,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",Other kind of accident,320,47,273,0.11,0.05,0.14,Non-Fatal,2016/17,Information and communication; financial and insur
2016/17,O,Public administration and defence; compulsory social security,Contact with moving machinery,18,7,11,[k],[k],[k],Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,"Struck by moving, including flying/falling, object",235,32,203,0.06,0.03,0.07,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Struck by moving vehicle,75,32,43,0.02,0.03,0.01,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Strike against something fixed or stationary,147,36,111,0.04,0.04,0.04,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,"Injured while handling, lifting or carrying",585,45,540,0.15,0.05,0.18,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,"Slips, trips or falls on same level",989,382,607,0.25,0.41,0.2,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Falls from a height,164,74,90,0.04,0.08,0.03,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Trapped by something collapsing/overturning,6,3,3,[k],[k],[k],Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,"Exposure to, or contact with, a harmful substance",32,1,31,[k],[k],0.01,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Exposure to fire,17,2,15,[k],[k],[k],Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Exposure to an explosion,0,0,0,0,0,0,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Contact with electricity or electrical discharge,6,2,4,[k],[k],[k],Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Injured by an animal,50,6,44,0.01,[k],0.01,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Acts of violence,915,207,708,0.24,0.22,0.24,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,O,Public administration and defence; compulsory social security,Other kind of accident,647,92,555,0.17,0.1,0.19,Non-Fatal,2016/17,Public administration and defence; compulsory soci
2016/17,P,Education,Contact with moving machinery,43,14,29,0.01,[k],0.01,Non-Fatal,2016/17,Education
2016/17,P,Education,"Struck by moving, including flying/falling, object",334,88,246,0.08,0.06,0.1,Non-Fatal,2016/17,Education
2016/17,P,Education,Struck by moving vehicle,15,3,12,[k],[k],[k],Non-Fatal,2016/17,Education
2016/17,P,Education,Strike against something fixed or stationary,128,37,91,0.03,0.02,0.04,Non-Fatal,2016/17,Education
2016/17,P,Education,"Injured while handling, lifting or carrying",463,55,408,0.11,0.04,0.16,Non-Fatal,2016/17,Education
2016/17,P,Education,"Slips, trips or falls on same level",1720,922,798,0.43,0.62,0.31,Non-Fatal,2016/17,Education
2016/17,P,Education,Falls from a height,272,155,117,0.07,0.1,0.05,Non-Fatal,2016/17,Education
2016/17,P,Education,Trapped by something collapsing/overturning,9,0,9,[k],0,[k],Non-Fatal,2016/17,Education
2016/17,P,Education,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Education
2016/17,P,Education,"Exposure to, or contact with, a harmful substance",31,1,30,[k],[k],0.01,Non-Fatal,2016/17,Education
2016/17,P,Education,Exposure to fire,6,0,6,[k],0,[k],Non-Fatal,2016/17,Education
2016/17,P,Education,Exposure to an explosion,1,0,1,[k],0,[k],Non-Fatal,2016/17,Education
2016/17,P,Education,Contact with electricity or electrical discharge,14,0,14,[k],0,[k],Non-Fatal,2016/17,Education
2016/17,P,Education,Injured by an animal,16,9,7,[k],[k],[k],Non-Fatal,2016/17,Education
2016/17,P,Education,Acts of violence,475,91,384,0.12,0.06,0.15,Non-Fatal,2016/17,Education
2016/17,P,Education,Other kind of accident,511,108,403,0.13,0.07,0.16,Non-Fatal,2016/17,Education
2016/17,Q,Human health and social work activities,Contact with moving machinery,34,6,28,[k],[k],[k],Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,"Struck by moving, including flying/falling, object",594,95,499,0.05,0.04,0.05,Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,Struck by moving vehicle,69,11,58,[k],[k],[k],Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,Strike against something fixed or stationary,320,66,254,0.03,0.03,0.03,Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,"Injured while handling, lifting or carrying",3079,106,2973,0.25,0.04,0.3,Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,"Slips, trips or falls on same level",3329,1295,2034,0.27,0.54,0.2,Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,Falls from a height,408,181,227,0.03,0.08,0.02,Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,Trapped by something collapsing/overturning,24,5,19,[k],[k],[k],Non-Fatal,2016/17,Human health and social work activities
2016/17,Q,Human health and social work activities,Drowning or asphyxiation,0,0,0,0,0,0,Non-Fatal,2016/17,Human health and social work activities
